key,operator,county,well_name,well_num,issue_date,spud_date,status,status
255809,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUB;BEDSOLE 34-27 HC,006-ALT,2026-08-17,,01,PERMITTED
255810,"COMSTOCK OIL & GAS--LA, LLC",DE SOTO,HA RA SUB;BEDSOLE 34-27 HC,007-ALT,2026-08-17,,01,PERMITTED
255811,"FONTAINEBLEAU OPERATING, LLC",WEBSTER,ROD-PET RA SUB; KEY 6,001,2026-08-18,,01,PERMITTED
255812,ADAMAS ENERGY LLC,NATCHITOCHES,HA RA SU58; POWELL 5-8HC,001,2026-08-18,,01,PERMITTED
255813,ADAMAS ENERGY LLC,NATCHITOCHES,HA RA SUOO; POWELL 4-33 HC,001,2026-08-18,,01,PERMITTED
255814,EXPAND OPERATING LLC,DE SOTO,HA RB SUYY;HDRK 13&12-13-16 HC,001-ALT,2026-08-18,,01,PERMITTED
255815,EXPAND OPERATING LLC,DE SOTO,HA RB SUYY;HDRK 13&12-13-16 HC,002-ALT,2026-08-18,,01,PERMITTED
255816,"PETRO-CHEM OPERATING COMPANY, INC.",LINCOLN,HOSS RA SUC; THOMAS 15,001,2026-08-18,,01,PERMITTED
255817,"GRAYROCK ENERGY IV OPERATING COMPANY, LL",BOSSIER,VUA;PADGETT 1-1H,001,2026-08-18,,01,PERMITTED
255818,"GRAYROCK ENERGY IV OPERATING COMPANY, LL",BOSSIER,VUA;PADGETT 1-6H,001,2026-08-18,,01,PERMITTED
255819,"GRAYROCK ENERGY IV OPERATING COMPANY, LL",BOSSIER,VUA;PADGETT 6-17H,001,2026-08-18,,01,PERMITTED
255820,"EMPRESA OPERATING, LLC",BOSSIER,VUA;PADGETT 6-17H,002,2026-08-18,,01,PERMITTED
255821,"DENBURY ONSHORE, LLC",RICHLAND,DELHI HOLT BRYANT SU; DELHI HT,042-1,2026-08-19,,01,PERMITTED
255822,"DENBURY ONSHORE, LLC",RICHLAND,DELHI HOLT BRYANT SU; DELHI UT,035-1,2026-08-19,,01,PERMITTED
255823,"APEX NATURAL GAS, LLC",RED RIVER,DSP 8&5-13-9HC,001,2026-08-24,,01,PERMITTED
255824,"APEX NATURAL GAS, LLC",RED RIVER,DSP 8&5-13-9HC,002,2026-08-24,,01,PERMITTED
255825,"APEX NATURAL GAS, LLC",RED RIVER,DSP 8&5-13-9HC,003,2026-08-24,,01,PERMITTED
255826,"APEX NATURAL GAS, LLC",RED RIVER,DSP 8&5-13-9HC,004,2026-08-24,,01,PERMITTED
255827,"C.T.R. OIL, INC.",LA SALLE,WX B RG SUK; PLACID FEE,010,2026-08-26,,01,PERMITTED
255828,"JERA UPSTREAM AMERICA, LLC",SABINE,HA RA SUR; G MAN 27-22-15HC,003-ALT,2026-08-26,,01,PERMITTED
255829,EXPAND OPERATING LLC,DE SOTO,HA RA SUII;STILES 4&9-10-11 HC,001,2026-08-26,,01,PERMITTED
255830,EXPAND OPERATING LLC,DE SOTO,HA RA SUII;STILES 4&9-10-11 HC,002-ALT,2026-08-26,,01,PERMITTED
255831,EXPAND OPERATING LLC,DE SOTO,HA RA SUII;STILES 4&9-10-11 HC,003-ALT,2026-08-26,,01,PERMITTED
255832,"DRAKE PETROLEUM, LLC",LA SALLE,HARTER-TENSAS-DELTA,046,2026-08-27,,01,PERMITTED
255833,"DRAKE PETROLEUM, LLC",LA SALLE,HARTER-TENSAS-DELTA,047,2026-08-27,,01,PERMITTED
976399,"SQUARE MILE ENERGY, L.L.C.",BEAUREGARD,KELIANG TRADING SWD,001,2026-07-15,,02,APPROVAL TO CONSTRUCT INJECTION WELL
